origen,destino,year,num_migrantes
Central America,Small island developing States (SIDS),2000,49456
South America,Small island developing States (SIDS),2000,104299
NORTHERN AMERICA,Small island developing States (SIDS),2000,344436
OCEANIA,Small island developing States (SIDS),2000,96709
Eastern Africa,High-income countries,2000,1357702
Middle Africa,High-income countries,2000,563150
Northern Africa,High-income countries,2000,5133633
Southern Africa,High-income countries,2000,424011
Western Africa,High-income countries,2000,1224839
Central Asia,High-income countries,2000,731380
Eastern Asia,High-income countries,2000,8287543
South-Eastern Asia,High-income countries,2000,8312988
Southern Asia,High-income countries,2000,10535270
Western Asia,High-income countries,2000,5955933
Eastern Europe,High-income countries,2000,8638562
Northern Europe,High-income countries,2000,5694327
Southern Europe,High-income countries,2000,10314486
Western Europe,High-income countries,2000,5796696
Caribbean,High-income countries,2000,5563828
Central America,High-income countries,2000,11742187
South America,High-income countries,2000,3975182
NORTHERN AMERICA,High-income countries,2000,2452752
OCEANIA,High-income countries,2000,1156594
Eastern Africa,Middle-income countries,2000,2470178
Middle Africa,Middle-income countries,2000,1017528
Northern Africa,Middle-income countries,2000,815656
Southern Africa,Middle-income countries,2000,282512
Western Africa,Middle-income countries,2000,3308014
Central Asia,Middle-income countries,2000,5675100
Eastern Asia,Middle-income countries,2000,1033318
South-Eastern Asia,Middle-income countries,2000,3770309
Southern Asia,Middle-income countries,2000,13839846
Western Asia,Middle-income countries,2000,6632109
Eastern Europe,Middle-income countries,2000,14925695
Northern Europe,Middle-income countries,2000,720167
Southern Europe,Middle-income countries,2000,2328817
Western Europe,Middle-income countries,2000,817393
Caribbean,Middle-income countries,2000,340109
Central America,Middle-income countries,2000,485995
South America,Middle-income countries,2000,2421821
NORTHERN AMERICA,Middle-income countries,2000,684860
OCEANIA,Middle-income countries,2000,85282
Eastern Africa,Upper-middle-income countries,2000,587104
Middle Africa,Upper-middle-income countries,2000,192658
Northern Africa,Upper-middle-income countries,2000,506639
Southern Africa,Upper-middle-income countries,2000,238127
Western Africa,Upper-middle-income countries,2000,131192
Central Asia,Upper-middle-income countries,2000,4955343
Eastern Asia,Upper-middle-income countries,2000,603312
South-Eastern Asia,Upper-middle-income countries,2000,2817880
Southern Asia,Upper-middle-income countries,2000,2723440
Western Asia,Upper-middle-income countries,2000,5882259
Eastern Europe,Upper-middle-income countries,2000,8963285
Northern Europe,Upper-middle-income countries,2000,536236
Southern Europe,Upper-middle-income countries,2000,2298730
Western Europe,Upper-middle-income countries,2000,719756
Caribbean,Upper-middle-income countries,2000,336459
Central America,Upper-middle-income countries,2000,411741
South America,Upper-middle-income countries,2000,2335777
NORTHERN AMERICA,Upper-middle-income countries,2000,564501
OCEANIA,Upper-middle-income countries,2000,57881
Eastern Africa,Lower-middle-income countries,2000,1883074
Middle Africa,Lower-middle-income countries,2000,824870
Northern Africa,Lower-middle-income countries,2000,309017
Southern Africa,Lower-middle-income countries,2000,44385
Western Africa,Lower-middle-income countries,2000,3176822
Central Asia,Lower-middle-income countries,2000,719757
Eastern Asia,Lower-middle-income countries,2000,430006
South-Eastern Asia,Lower-middle-income countries,2000,952429
Southern Asia,Lower-middle-income countries,2000,11116406
Western Asia,Lower-middle-income countries,2000,749850
Eastern Europe,Lower-middle-income countries,2000,5962410
Northern Europe,Lower-middle-income countries,2000,183931
Southern Europe,Lower-middle-income countries,2000,30087
Western Europe,Lower-middle-income countries,2000,97637
Caribbean,Lower-middle-income countries,2000,3650
Central America,Lower-middle-income countries,2000,74254
South America,Lower-middle-income countries,2000,86044
NORTHERN AMERICA,Lower-middle-income countries,2000,120359
OCEANIA,Lower-middle-income countries,2000,27401
Eastern Africa,Low-income countries,2000,2188525
Middle Africa,Low-income countries,2000,858682
Northern Africa,Low-income countries,2000,492342
Southern Africa,Low-income countries,2000,25769
Western Africa,Low-income countries,2000,1850428
Central Asia,Low-income countries,2000,55865
Eastern Asia,Low-income countries,2000,30248
South-Eastern Asia,Low-income countries,2000,3969
Southern Asia,Low-income countries,2000,60100
Western Asia,Low-income countries,2000,406488
Eastern Europe,Low-income countries,2000,256402
Northern Europe,Low-income countries,2000,6395
Southern Europe,Low-income countries,2000,7286
Western Europe,Low-income countries,2000,33127
Caribbean,Low-income countries,2000,4766
Central America,Low-income countries,2000,521
South America,Low-income countries,2000,6629
NORTHERN AMERICA,Low-income countries,2000,10766
OCEANIA,Low-income countries,2000,260
Eastern Africa,Developed regions,2005,1619839
Middle Africa,Developed regions,2005,714426
Northern Africa,Developed regions,2005,4920180
Southern Africa,Developed regions,2005,511527
Western Africa,Developed regions,2005,1709963
Central Asia,Developed regions,2005,6314840
Eastern Asia,Developed regions,2005,6829480
South-Eastern Asia,Developed regions,2005,6400368
Southern Asia,Developed regions,2005,6053543
Western Asia,Developed regions,2005,6735738
Eastern Europe,Developed regions,2005,20087244
Northern Europe,Developed regions,2005,6235819
Southern Europe,Developed regions,2005,10331708
Western Europe,Developed regions,2005,6399881
Caribbean,Developed regions,2005,5796495
Central America,Developed regions,2005,13411141
South America,Developed regions,2005,5637868
NORTHERN AMERICA,Developed regions,2005,2147035
OCEANIA,Developed regions,2005,1230865
Eastern Africa,Less developed regions,2005,4572908
Middle Africa,Less developed regions,2005,2012130
Northern Africa,Less developed regions,2005,3046241
Southern Africa,Less developed regions,2005,393087
Western Africa,Less developed regions,2005,5741105
Central Asia,Less developed regions,2005,604059
Eastern Asia,Less developed regions,2005,4190494
South-Eastern Asia,Less developed regions,2005,8136641
Southern Asia,Less developed regions,2005,20375248
Western Asia,Less developed regions,2005,7165632
Eastern Europe,Less developed regions,2005,5467542
Northern Europe,Less developed regions,2005,544275
Southern Europe,Less developed regions,2005,1203510
Western Europe,Less developed regions,2005,1067005
Caribbean,Less developed regions,2005,710176
Central America,Less developed regions,2005,567509
South America,Less developed regions,2005,3215017
NORTHERN AMERICA,Less developed regions,2005,1365071
OCEANIA,Less developed regions,2005,160553
Eastern Africa,"Less developed regions, excluding least developed countries",2005,2038447
Middle Africa,"Less developed regions, excluding least developed countries",2005,640814
Northern Africa,"Less developed regions, excluding least developed countries",2005,2275660
Southern Africa,"Less developed regions, excluding least developed countries",2005,349989
Western Africa,"Less developed regions, excluding least developed countries",2005,3625798
Central Asia,"Less developed regions, excluding least developed countries",2005,574177
Eastern Asia,"Less developed regions, excluding least developed countries",2005,3960353
South-Eastern Asia,"Less developed regions, excluding least developed countries",2005,7440546
Southern Asia,"Less developed regions, excluding least developed countries",2005,19562063
Western Asia,"Less developed regions, excluding least developed countries",2005,7122082
Eastern Europe,"Less developed regions, excluding least developed countries",2005,5466215
Northern Europe,"Less developed regions, excluding least developed countries",2005,498584
Southern Europe,"Less developed regions, excluding least developed countries",2005,1187376
Western Europe,"Less developed regions, excluding least developed countries",2005,1015429
Caribbean,"Less developed regions, excluding least developed countries",2005,705264
Central America,"Less developed regions, excluding least developed countries",2005,567015
South America,"Less developed regions, excluding least developed countries",2005,3197667
NORTHERN AMERICA,"Less developed regions, excluding least developed countries",2005,1315826
OCEANIA,"Less developed regions, excluding least developed countries",2005,153889
Eastern Africa,"Less developed regions, excluding China",2005,4572908
Middle Africa,"Less developed regions, excluding China",2005,2012130
Northern Africa,"Less developed regions, excluding China",2005,3046241
Southern Africa,"Less developed regions, excluding China",2005,393087
Western Africa,"Less developed regions, excluding China",2005,5741105
Central Asia,"Less developed regions, excluding China",2005,604059
Eastern Asia,"Less developed regions, excluding China",2005,1617507
South-Eastern Asia,"Less developed regions, excluding China",2005,7489756
Southern Asia,"Less developed regions, excluding China",2005,20332249
Western Asia,"Less developed regions, excluding China",2005,7165632
Eastern Europe,"Less developed regions, excluding China",2005,5466107
Northern Europe,"Less developed regions, excluding China",2005,523556
Southern Europe,"Less developed regions, excluding China",2005,1200623
Western Europe,"Less developed regions, excluding China",2005,1061675
Caribbean,"Less developed regions, excluding China",2005,710176
Central America,"Less developed regions, excluding China",2005,567509
South America,"Less developed regions, excluding China",2005,3174863
NORTHERN AMERICA,"Less developed regions, excluding China",2005,1320705
OCEANIA,"Less developed regions, excluding China",2005,147940
Eastern Africa,Least developed countries,2005,2534461
Middle Africa,Least developed countries,2005,1371316
Northern Africa,Least developed countries,2005,770581
Southern Africa,Least developed countries,2005,43098
Western Africa,Least developed countries,2005,2115307
Central Asia,Least developed countries,2005,29882
Eastern Asia,Least developed countries,2005,230141
South-Eastern Asia,Least developed countries,2005,696095
Southern Asia,Least developed countries,2005,813185
Western Asia,Least developed countries,2005,43550
Eastern Europe,Least developed countries,2005,1327
Northern Europe,Least developed countries,2005,45691
Southern Europe,Least developed countries,2005,16134
Western Europe,Least developed countries,2005,51576
Caribbean,Least developed countries,2005,4912
Central America,Least developed countries,2005,494
South America,Least developed countries,2005,17350
NORTHERN AMERICA,Least developed countries,2005,49245
OCEANIA,Least developed countries,2005,6664
Eastern Africa,Land-locked Developing Countries (LLDC),2005,1364807
Middle Africa,Land-locked Developing Countries (LLDC),2005,736648
Northern Africa,Land-locked Developing Countries (LLDC),2005,688657
Southern Africa,Land-locked Developing Countries (LLDC),2005,62466
Western Africa,Land-locked Developing Countries (LLDC),2005,844058
Central Asia,Land-locked Developing Countries (LLDC),2005,530856
Eastern Asia,Land-locked Developing Countries (LLDC),2005,126039
South-Eastern Asia,Land-locked Developing Countries (LLDC),2005,14180
Southern Asia,Land-locked Developing Countries (LLDC),2005,742037
Western Asia,Land-locked Developing Countries (LLDC),2005,819258
Eastern Europe,Land-locked Developing Countries (LLDC),2005,4395896
Northern Europe,Land-locked Developing Countries (LLDC),2005,39764
Southern Europe,Land-locked Developing Countries (LLDC),2005,116044
Western Europe,Land-locked Developing Countries (LLDC),2005,47566
Caribbean,Land-locked Developing Countries (LLDC),2005,1368
Central America,Land-locked Developing Countries (LLDC),2005,12094
South America,Land-locked Developing Countries (LLDC),2005,219039
NORTHERN AMERICA,Land-locked Developing Countries (LLDC),2005,15215
OCEANIA,Land-locked Developing Countries (LLDC),2005,954
Eastern Africa,Small island developing States (SIDS),2005,18130
Middle Africa,Small island developing States (SIDS),2005,5485
Northern Africa,Small island developing States (SIDS),2005,52684
Southern Africa,Small island developing States (SIDS),2005,1191
Western Africa,Small island developing States (SIDS),2005,26749
Central Asia,Small island developing States (SIDS),2005,7
Eastern Asia,Small island developing States (SIDS),2005,412894
South-Eastern Asia,Small island developing States (SIDS),2005,1047170
Southern Asia,Small island developing States (SIDS),2005,540109
Western Asia,Small island developing States (SIDS),2005,36847
Eastern Europe,Small island developing States (SIDS),2005,4428
Northern Europe,Small island developing States (SIDS),2005,30656
Southern Europe,Small island developing States (SIDS),2005,31064
Western Europe,Small island developing States (SIDS),2005,176580
Caribbean,Small island developing States (SIDS),2005,609284
Central America,Small island developing States (SIDS),2005,51669
South America,Small island developing States (SIDS),2005,104624
NORTHERN AMERICA,Small island developing States (SIDS),2005,349892
OCEANIA,Small island developing States (SIDS),2005,99537
Eastern Africa,High-income countries,2005,1804683
Middle Africa,High-income countries,2005,719051
Northern Africa,High-income countries,2005,6591334
Southern Africa,High-income countries,2005,526640
Western Africa,High-income countries,2005,1716603
Central Asia,High-income countries,2005,984547
Eastern Asia,High-income countries,2005,9816796
South-Eastern Asia,High-income countries,2005,9745758
Southern Asia,High-income countries,2005,13836388
Western Asia,High-income countries,2005,6237895
Eastern Europe,High-income countries,2005,11174637
Northern Europe,High-income countries,2005,6021011
Southern Europe,High-income countries,2005,9414783
Western Europe,High-income countries,2005,6386626
Caribbean,High-income countries,2005,6062832
Central America,High-income countries,2005,13445463
South America,High-income countries,2005,6016319
NORTHERN AMERICA,High-income countries,2005,2607445
OCEANIA,High-income countries,2005,1293419
Eastern Africa,Middle-income countries,2005,2482097
Middle Africa,Middle-income countries,2005,1025575
Northern Africa,Middle-income countries,2005,613439
Southern Africa,Middle-income countries,2005,346644
Western Africa,Middle-income countries,2005,4074446
Central Asia,Middle-income countries,2005,5883967
Eastern Asia,Middle-income countries,2005,1167566
South-Eastern Asia,Middle-income countries,2005,4785753
Southern Asia,Middle-income countries,2005,12524668
Western Asia,Middle-income countries,2005,6864472
Eastern Europe,Middle-income countries,2005,14137359
Northern Europe,Middle-income countries,2005,752484
Southern Europe,Middle-income countries,2005,2111404
Western Europe,Middle-income countries,2005,841515
Caribbean,Middle-income countries,2005,377094
Central America,Middle-income countries,2005,532693
South America,Middle-income countries,2005,2790232
NORTHERN AMERICA,Middle-income countries,2005,893780
OCEANIA,Middle-income countries,2005,92740
Eastern Africa,Upper-middle-income countries,2005,771310
Middle Africa,Upper-middle-income countries,2005,210050
Northern Africa,Upper-middle-income countries,2005,302917
Southern Africa,Upper-middle-income countries,2005,297641
Western Africa,Upper-middle-income countries,2005,146052
Central Asia,Upper-middle-income countries,2005,5227523
Eastern Asia,Upper-middle-income countries,2005,732111
South-Eastern Asia,Upper-middle-income countries,2005,3895421
Southern Asia,Upper-middle-income countries,2005,3119356
Western Asia,Upper-middle-income countries,2005,6065128
Eastern Europe,Upper-middle-income countries,2005,8748046
Northern Europe,Upper-middle-income countries,2005,575323
Southern Europe,Upper-middle-income countries,2005,2074454
Western Europe,Upper-middle-income countries,2005,749198
Caribbean,Upper-middle-income countries,2005,373029
Central America,Upper-middle-income countries,2005,452344
South America,Upper-middle-income countries,2005,2694033
NORTHERN AMERICA,Upper-middle-income countries,2005,750024
OCEANIA,Upper-middle-income countries,2005,63528
Eastern Africa,Lower-middle-income countries,2005,1710787
Middle Africa,Lower-middle-income countries,2005,815525
Northern Africa,Lower-middle-income countries,2005,310522
Southern Africa,Lower-middle-income countries,2005,49003
Western Africa,Lower-middle-income countries,2005,3928394
Central Asia,Lower-middle-income countries,2005,656444
Eastern Asia,Lower-middle-income countries,2005,435455
South-Eastern Asia,Lower-middle-income countries,2005,890332
Southern Asia,Lower-middle-income countries,2005,9405312
Western Asia,Lower-middle-income countries,2005,799344
Eastern Europe,Lower-middle-income countries,2005,5389313
Northern Europe,Lower-middle-income countries,2005,177161
Southern Europe,Lower-middle-income countries,2005,36950
Western Europe,Lower-middle-income countries,2005,92317
Caribbean,Lower-middle-income countries,2005,4065
Central America,Lower-middle-income countries,2005,80349
South America,Lower-middle-income countries,2005,96199
NORTHERN AMERICA,Lower-middle-income countries,2005,143756
OCEANIA,Lower-middle-income countries,2005,29212
Eastern Africa,Low-income countries,2005,1823688
Middle Africa,Low-income countries,2005,981930
Northern Africa,Low-income countries,2005,761269
Southern Africa,Low-income countries,2005,31301
Western Africa,Low-income countries,2005,1656393
Central Asia,Low-income countries,2005,50385
Eastern Asia,Low-income countries,2005,34231
South-Eastern Asia,Low-income countries,2005,4650
Southern Asia,Low-income countries,2005,67572
Western Asia,Low-income countries,2005,798395
Eastern Europe,Low-income countries,2005,242790
Northern Europe,Low-income countries,2005,4832
Southern Europe,Low-income countries,2005,8155
Western Europe,Low-income countries,2005,35866
Caribbean,Low-income countries,2005,4829
Central America,Low-income countries,2005,494
South America,Low-income countries,2005,6787
NORTHERN AMERICA,Low-income countries,2005,9131
OCEANIA,Low-income countries,2005,280
Eastern Africa,Developed regions,2010,2070685
Middle Africa,Developed regions,2010,803446
Northern Africa,Developed regions,2010,5511004
Southern Africa,Developed regions,2010,650439
Western Africa,Developed regions,2010,2135593
Central Asia,Developed regions,2010,6617738
Eastern Asia,Developed regions,2010,7934898
South-Eastern Asia,Developed regions,2010,7384973
Southern Asia,Developed regions,2010,7672817
Western Asia,Developed regions,2010,7057172
Eastern Europe,Developed regions,2010,22172713
Northern Europe,Developed regions,2010,6652635
Southern Europe,Developed regions,2010,10606878
Western Europe,Developed regions,2010,7071601
Caribbean,Developed regions,2010,6479310
Central America,Developed regions,2010,15565014
South America,Developed regions,2010,7089096
NORTHERN AMERICA,Developed regions,2010,2291342
OCEANIA,Developed regions,2010,1413360
Eastern Africa,Less developed regions,2010,5453507
Middle Africa,Less developed regions,2010,2204097
Northern Africa,Less developed regions,2010,3740124
Southern Africa,Less developed regions,2010,549374
Western Africa,Less developed regions,2010,6075583
Central Asia,Less developed regions,2010,614557
Eastern Asia,Less developed regions,2010,4928396
South-Eastern Asia,Less developed regions,2010,10728939
Southern Asia,Less developed regions,2010,26177276
Western Asia,Less developed regions,2010,9005411
Eastern Europe,Less developed regions,2010,5405429
Northern Europe,Less developed regions,2010,526145
Southern Europe,Less developed regions,2010,1121247
Western Europe,Less developed regions,2010,1154653
Caribbean,Less developed regions,2010,794192
Central America,Less developed regions,2010,639437
South America,Less developed regions,2010,4070601
NORTHERN AMERICA,Less developed regions,2010,1678461
OCEANIA,Less developed regions,2010,177808
Eastern Africa,"Less developed regions, excluding least developed countries",2010,2775363
Middle Africa,"Less developed regions, excluding least developed countries",2010,819253
Northern Africa,"Less developed regions, excluding least developed countries",2010,3142846
Southern Africa,"Less developed regions, excluding least developed countries",2010,499817
Western Africa,"Less developed regions, excluding least developed countries",2010,3807712
Central Asia,"Less developed regions, excluding least developed countries",2010,587879
Eastern Asia,"Less developed regions, excluding least developed countries",2010,4674529
South-Eastern Asia,"Less developed regions, excluding least developed countries",2010,9893048
Southern Asia,"Less developed regions, excluding least developed countries",2010,25420573
Western Asia,"Less developed regions, excluding least developed countries",2010,8950055
Eastern Europe,"Less developed regions, excluding least developed countries",2010,5404370
Northern Europe,"Less developed regions, excluding least developed countries",2010,474846
Southern Europe,"Less developed regions, excluding least developed countries",2010,1101993
Western Europe,"Less developed regions, excluding least developed countries",2010,1106394
Caribbean,"Less developed regions, excluding least developed countries",2010,785179
Central America,"Less developed regions, excluding least developed countries",2010,638919
South America,"Less developed regions, excluding least developed countries",2010,4049523
NORTHERN AMERICA,"Less developed regions, excluding least developed countries",2010,1623785
OCEANIA,"Less developed regions, excluding least developed countries",2010,170394
Eastern Africa,"Less developed regions, excluding China",2010,5453507
Middle Africa,"Less developed regions, excluding China",2010,2204097
Northern Africa,"Less developed regions, excluding China",2010,3740124
Southern Africa,"Less developed regions, excluding China",2010,549374
Western Africa,"Less developed regions, excluding China",2010,6075583
Central Asia,"Less developed regions, excluding China",2010,614557
Eastern Asia,"Less developed regions, excluding China",2010,2027650
South-Eastern Asia,"Less developed regions, excluding China",2010,10033634
Southern Asia,"Less developed regions, excluding China",2010,26128710
Western Asia,"Less developed regions, excluding China",2010,9005411
Eastern Europe,"Less developed regions, excluding China",2010,5403630
Northern Europe,"Less developed regions, excluding China",2010,502899
Southern Europe,"Less developed regions, excluding China",2010,1118328
Western Europe,"Less developed regions, excluding China",2010,1148862
Caribbean,"Less developed regions, excluding China",2010,794192
Central America,"Less developed regions, excluding China",2010,639437
South America,"Less developed regions, excluding China",2010,4019878
NORTHERN AMERICA,"Less developed regions, excluding China",2010,1630666
OCEANIA,"Less developed regions, excluding China",2010,163683
Eastern Africa,Least developed countries,2010,2678144
Middle Africa,Least developed countries,2010,1384844
Northern Africa,Least developed countries,2010,597278
Southern Africa,Least developed countries,2010,49557
Western Africa,Least developed countries,2010,2267871
Central Asia,Least developed countries,2010,26678
Eastern Asia,Least developed countries,2010,253867
South-Eastern Asia,Least developed countries,2010,835891
Southern Asia,Least developed countries,2010,756703
Western Asia,Least developed countries,2010,55356
Eastern Europe,Least developed countries,2010,1059
Northern Europe,Least developed countries,2010,51299
Southern Europe,Least developed countries,2010,19254
Western Europe,Least developed countries,2010,48259
Caribbean,Least developed countries,2010,9013
Central America,Least developed countries,2010,518
South America,Least developed countries,2010,21078
NORTHERN AMERICA,Least developed countries,2010,54676
OCEANIA,Least developed countries,2010,7414
Eastern Africa,Land-locked Developing Countries (LLDC),2010,1647152
Middle Africa,Land-locked Developing Countries (LLDC),2010,825591
Northern Africa,Land-locked Developing Countries (LLDC),2010,510805
Southern Africa,Land-locked Developing Countries (LLDC),2010,57787
Western Africa,Land-locked Developing Countries (LLDC),2010,1014363
Central Asia,Land-locked Developing Countries (LLDC),2010,520843
Eastern Asia,Land-locked Developing Countries (LLDC),2010,153014
South-Eastern Asia,Land-locked Developing Countries (LLDC),2010,22792
Southern Asia,Land-locked Developing Countries (LLDC),2010,673890
Western Asia,Land-locked Developing Countries (LLDC),2010,558909
Eastern Europe,Land-locked Developing Countries (LLDC),2010,4345986
Northern Europe,Land-locked Developing Countries (LLDC),2010,32583
Southern Europe,Land-locked Developing Countries (LLDC),2010,126472
Western Europe,Land-locked Developing Countries (LLDC),2010,39946
Caribbean,Land-locked Developing Countries (LLDC),2010,4311
Central America,Land-locked Developing Countries (LLDC),2010,11344
South America,Land-locked Developing Countries (LLDC),2010,222506
NORTHERN AMERICA,Land-locked Developing Countries (LLDC),2010,16148
OCEANIA,Land-locked Developing Countries (LLDC),2010,1992
Eastern Africa,Small island developing States (SIDS),2010,19887
Middle Africa,Small island developing States (SIDS),2010,3470
Northern Africa,Small island developing States (SIDS),2010,81856
Southern Africa,Small island developing States (SIDS),2010,1196
Western Africa,Small island developing States (SIDS),2010,30529
Central Asia,Small island developing States (SIDS),2010,11
Eastern Asia,Small island developing States (SIDS),2010,477160
South-Eastern Asia,Small island developing States (SIDS),2010,1285147
Southern Asia,Small island developing States (SIDS),2010,824094
Western Asia,Small island developing States (SIDS),2010,56112
Eastern Europe,Small island developing States (SIDS),2010,3500
Northern Europe,Small island developing States (SIDS),2010,30229
Southern Europe,Small island developing States (SIDS),2010,25998
Western Europe,Small island developing States (SIDS),2010,192617
Caribbean,Small island developing States (SIDS),2010,672646
Central America,Small island developing States (SIDS),2010,53301
South America,Small island developing States (SIDS),2010,112952
NORTHERN AMERICA,Small island developing States (SIDS),2010,330536
OCEANIA,Small island developing States (SIDS),2010,98165
Eastern Africa,High-income countries,2010,2323548
Middle Africa,High-income countries,2010,809140
Northern Africa,High-income countries,2010,8047830
Southern Africa,High-income countries,2010,668902
Western Africa,High-income countries,2010,2153903
Central Asia,High-income countries,2010,1204553
Eastern Asia,High-income countries,2010,11471241
South-Eastern Asia,High-income countries,2010,12010416
Southern Asia,High-income countries,2010,20464906
Western Asia,High-income countries,2010,7367573
Eastern Europe,High-income countries,2010,13834338
Northern Europe,High-income countries,2010,6494075
Southern Europe,High-income countries,2010,9656788
Western Europe,High-income countries,2010,7104194
Caribbean,High-income countries,2010,6771383
Central America,High-income countries,2010,15608208
South America,High-income countries,2010,7587603
NORTHERN AMERICA,High-income countries,2010,2760852
OCEANIA,High-income countries,2010,1481900
Eastern Africa,Middle-income countries,2010,2786362
Middle Africa,Middle-income countries,2010,1013381
Northern Africa,Middle-income countries,2010,640724
Southern Africa,Middle-income countries,2010,496167
Western Africa,Middle-income countries,2010,4294125
Central Asia,Middle-income countries,2010,5980592
Eastern Asia,Middle-income countries,2010,1349006
South-Eastern Asia,Middle-income countries,2010,6096309
Southern Asia,Middle-income countries,2010,13302815
Western Asia,Middle-income countries,2010,7062368
Eastern Europe,Middle-income countries,2010,13501785
Northern Europe,Middle-income countries,2010,678396
Southern Europe,Middle-income countries,2010,2058615
Western Europe,Middle-income countries,2010,876739
Caribbean,Middle-income countries,2010,427246
Central America,Middle-income countries,2010,595725
South America,Middle-income countries,2010,3513926
NORTHERN AMERICA,Middle-income countries,2010,1198462
OCEANIA,Middle-income countries,2010,103169
Eastern Africa,Upper-middle-income countries,2010,1188434
Middle Africa,Upper-middle-income countries,2010,257736
Northern Africa,Upper-middle-income countries,2010,311013
Southern Africa,Upper-middle-income countries,2010,444473
Western Africa,Upper-middle-income countries,2010,187396
Central Asia,Upper-middle-income countries,2010,5393171
Eastern Asia,Upper-middle-income countries,2010,903224
South-Eastern Asia,Upper-middle-income countries,2010,5057382
Southern Asia,Upper-middle-income countries,2010,3724894
Western Asia,Upper-middle-income countries,2010,6259459
Eastern Europe,Upper-middle-income countries,2010,8459677
Northern Europe,Upper-middle-income countries,2010,527684
Southern Europe,Upper-middle-income countries,2010,2009462
Western Europe,Upper-middle-income countries,2010,762007
Caribbean,Upper-middle-income countries,2010,422250
Central America,Upper-middle-income countries,2010,511080
South America,Upper-middle-income countries,2010,3410805
NORTHERN AMERICA,Upper-middle-income countries,2010,1019674
OCEANIA,Upper-middle-income countries,2010,72309
Eastern Africa,Lower-middle-income countries,2010,1597928
Middle Africa,Lower-middle-income countries,2010,755645
Northern Africa,Lower-middle-income countries,2010,329711
Southern Africa,Lower-middle-income countries,2010,51694
Western Africa,Lower-middle-income countries,2010,4106729
Central Asia,Lower-middle-income countries,2010,587421
Eastern Asia,Lower-middle-income countries,2010,445782
South-Eastern Asia,Lower-middle-income countries,2010,1038927
Southern Asia,Lower-middle-income countries,2010,9577921
Western Asia,Lower-middle-income countries,2010,802909
Eastern Europe,Lower-middle-income countries,2010,5042108
Northern Europe,Lower-middle-income countries,2010,150712
Southern Europe,Lower-middle-income countries,2010,49153
Western Europe,Lower-middle-income countries,2010,114732
Caribbean,Lower-middle-income countries,2010,4996
Central America,Lower-middle-income countries,2010,84645
South America,Lower-middle-income countries,2010,103121
NORTHERN AMERICA,Lower-middle-income countries,2010,178788
OCEANIA,Lower-middle-income countries,2010,30860
Eastern Africa,Low-income countries,2010,2321817
Middle Africa,Low-income countries,2010,1185022
Northern Africa,Low-income countries,2010,562174
Southern Africa,Low-income countries,2010,34700
Western Africa,Low-income countries,2010,1758842
Central Asia,Low-income countries,2010,47150
Eastern Asia,Low-income countries,2010,41864
South-Eastern Asia,Low-income countries,2010,6391
Southern Asia,Low-income countries,2010,82179
Western Asia,Low-income countries,2010,1631962
Eastern Europe,Low-income countries,2010,242019
Northern Europe,Low-income countries,2010,4222
Southern Europe,Low-income countries,2010,11726
Western Europe,Low-income countries,2010,30768
Caribbean,Low-income countries,2010,8926
Central America,Low-income countries,2010,518
South America,Low-income countries,2010,9031
NORTHERN AMERICA,Low-income countries,2010,8596
OCEANIA,Low-income countries,2010,907
Eastern Africa,Developed regions,2015,2553057
Middle Africa,Developed regions,2015,934929
Northern Africa,Developed regions,2015,6038468
Southern Africa,Developed regions,2015,693485
Western Africa,Developed regions,2015,2489892
Central Asia,Developed regions,2015,6798371
Eastern Asia,Developed regions,2015,8906321
South-Eastern Asia,Developed regions,2015,8321216
Southern Asia,Developed regions,2015,9630786
Western Asia,Developed regions,2015,8272537
Eastern Europe,Developed regions,2015,23295169
Northern Europe,Developed regions,2015,6820416
Southern Europe,Developed regions,2015,10826524
Western Europe,Developed regions,2015,7174157
Caribbean,Developed regions,2015,7123437
Central America,Developed regions,2015,15594486
South America,Developed regions,2015,7135987
NORTHERN AMERICA,Developed regions,2015,2324284
OCEANIA,Developed regions,2015,1565999
Eastern Africa,Less developed regions,2015,7271233
Middle Africa,Less developed regions,2015,2882061
Northern Africa,Less developed regions,2015,4876280
Southern Africa,Less developed regions,2015,436466
Western Africa,Less developed regions,2015,6936088
Central Asia,Less developed regions,2015,629661
Eastern Asia,Less developed regions,2015,5511404
South-Eastern Asia,Less developed regions,2015,12466649
Southern Asia,Less developed regions,2015,29422312
Western Asia,Less developed regions,2015,13418762
Eastern Europe,Less developed regions,2015,5527446
Northern Europe,Less developed regions,2015,494731
Southern Europe,Less developed regions,2015,1218729
Western Europe,Less developed regions,2015,1220581
Caribbean,Less developed regions,2015,1011870
Central America,Less developed regions,2015,696736
South America,Less developed regions,2015,4643484
NORTHERN AMERICA,Less developed regions,2015,1690365
OCEANIA,Less developed regions,2015,185423
Eastern Africa,"Less developed regions, excluding least developed countries",2015,3321724
Middle Africa,"Less developed regions, excluding least developed countries",2015,1054558
Northern Africa,"Less developed regions, excluding least developed countries",2015,3753654
Southern Africa,"Less developed regions, excluding least developed countries",2015,384132
Western Africa,"Less developed regions, excluding least developed countries",2015,4316993
Central Asia,"Less developed regions, excluding least developed countries",2015,612047
Eastern Asia,"Less developed regions, excluding least developed countries",2015,5248982
South-Eastern Asia,"Less developed regions, excluding least developed countries",2015,11614061
Southern Asia,"Less developed regions, excluding least developed countries",2015,28497143
