origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes,genero
Central America,-86.0,15.0,OCEANIA,140.0,-25.0,1990,5383,male
South America,-60.0,-10.0,OCEANIA,140.0,-25.0,1990,33428,male
NORTHERN AMERICA,-100.0,45.0,OCEANIA,140.0,-25.0,1990,71452,male
OCEANIA,140.0,-25.0,OCEANIA,140.0,-25.0,1990,292643,male
Eastern Africa,39.0,-6.5,Eastern Africa,39.0,-6.5,1995,1868791,male
Middle Africa,17.0,1.0,Eastern Africa,39.0,-6.5,1995,224164,male
Northern Africa,18.0,28.0,Eastern Africa,39.0,-6.5,1995,173463,male
Southern Africa,24.0,-29.0,Eastern Africa,39.0,-6.5,1995,25147,male
Western Africa,-2.0,16.0,Eastern Africa,39.0,-6.5,1995,4215,male
Central Asia,63.0,48.0,Eastern Africa,39.0,-6.5,1995,0,male
Eastern Asia,116.0,39.0,Eastern Africa,39.0,-6.5,1995,1880,male
South-Eastern Asia,108.0,4.0,Eastern Africa,39.0,-6.5,1995,244,male
Southern Asia,78.0,23.0,Eastern Africa,39.0,-6.5,1995,13045,male
Western Asia,40.0,33.0,Eastern Africa,39.0,-6.5,1995,167,male
Eastern Europe,30.0,50.0,Eastern Africa,39.0,-6.5,1995,159,male
Northern Europe,15.0,60.0,Eastern Africa,39.0,-6.5,1995,13451,male
Southern Europe,15.0,41.0,Eastern Africa,39.0,-6.5,1995,2262,male
Western Europe,2.0,48.0,Eastern Africa,39.0,-6.5,1995,35117,male
Caribbean,-75.0,18.0,Eastern Africa,39.0,-6.5,1995,122,male
Central America,-86.0,15.0,Eastern Africa,39.0,-6.5,1995,0,male
South America,-60.0,-10.0,Eastern Africa,39.0,-6.5,1995,0,male
NORTHERN AMERICA,-100.0,45.0,Eastern Africa,39.0,-6.5,1995,1361,male
OCEANIA,140.0,-25.0,Eastern Africa,39.0,-6.5,1995,70,male
Eastern Africa,39.0,-6.5,Middle Africa,17.0,1.0,1995,707100,male
Middle Africa,17.0,1.0,Middle Africa,17.0,1.0,1995,343863,male
Northern Africa,18.0,28.0,Middle Africa,17.0,1.0,1995,33066,male
Southern Africa,24.0,-29.0,Middle Africa,17.0,1.0,1995,1702,male
Western Africa,-2.0,16.0,Middle Africa,17.0,1.0,1995,137273,male
Central Asia,63.0,48.0,Middle Africa,17.0,1.0,1995,0,male
Eastern Asia,116.0,39.0,Middle Africa,17.0,1.0,1995,499,male
South-Eastern Asia,108.0,4.0,Middle Africa,17.0,1.0,1995,0,male
Southern Asia,78.0,23.0,Middle Africa,17.0,1.0,1995,0,male
Western Asia,40.0,33.0,Middle Africa,17.0,1.0,1995,980,male
Eastern Europe,30.0,50.0,Middle Africa,17.0,1.0,1995,427,male
Northern Europe,15.0,60.0,Middle Africa,17.0,1.0,1995,13,male
Southern Europe,15.0,41.0,Middle Africa,17.0,1.0,1995,4531,male
Western Europe,2.0,48.0,Middle Africa,17.0,1.0,1995,21069,male
Caribbean,-75.0,18.0,Middle Africa,17.0,1.0,1995,51,male
Central America,-86.0,15.0,Middle Africa,17.0,1.0,1995,0,male
South America,-60.0,-10.0,Middle Africa,17.0,1.0,1995,0,male
NORTHERN AMERICA,-100.0,45.0,Middle Africa,17.0,1.0,1995,892,male
OCEANIA,140.0,-25.0,Middle Africa,17.0,1.0,1995,9,male
Eastern Africa,39.0,-6.5,Northern Africa,18.0,28.0,1995,461978,male
Middle Africa,17.0,1.0,Northern Africa,18.0,28.0,1995,61138,male
Northern Africa,18.0,28.0,Northern Africa,18.0,28.0,1995,158545,male
Southern Africa,24.0,-29.0,Northern Africa,18.0,28.0,1995,494,male
Western Africa,-2.0,16.0,Northern Africa,18.0,28.0,1995,22203,male
Central Asia,63.0,48.0,Northern Africa,18.0,28.0,1995,1059,male
Eastern Asia,116.0,39.0,Northern Africa,18.0,28.0,1995,5046,male
South-Eastern Asia,108.0,4.0,Northern Africa,18.0,28.0,1995,18793,male
Southern Asia,78.0,23.0,Northern Africa,18.0,28.0,1995,6794,male
Western Asia,40.0,33.0,Northern Africa,18.0,28.0,1995,248309,male
Eastern Europe,30.0,50.0,Northern Africa,18.0,28.0,1995,11670,male
Northern Europe,15.0,60.0,Northern Africa,18.0,28.0,1995,8169,male
Southern Europe,15.0,41.0,Northern Africa,18.0,28.0,1995,13550,male
Western Europe,2.0,48.0,Northern Africa,18.0,28.0,1995,36219,male
Caribbean,-75.0,18.0,Northern Africa,18.0,28.0,1995,8,male
Central America,-86.0,15.0,Northern Africa,18.0,28.0,1995,323,male
South America,-60.0,-10.0,Northern Africa,18.0,28.0,1995,378,male
NORTHERN AMERICA,-100.0,45.0,Northern Africa,18.0,28.0,1995,13288,male
OCEANIA,140.0,-25.0,Northern Africa,18.0,28.0,1995,850,male
Eastern Africa,39.0,-6.5,Southern Africa,24.0,-29.0,1995,333679,male
Middle Africa,17.0,1.0,Southern Africa,24.0,-29.0,1995,33043,male
Northern Africa,18.0,28.0,Southern Africa,24.0,-29.0,1995,2784,male
Southern Africa,24.0,-29.0,Southern Africa,24.0,-29.0,1995,153758,male
Western Africa,-2.0,16.0,Southern Africa,24.0,-29.0,1995,14450,male
Central Asia,63.0,48.0,Southern Africa,24.0,-29.0,1995,0,male
Eastern Asia,116.0,39.0,Southern Africa,24.0,-29.0,1995,10038,male
South-Eastern Asia,108.0,4.0,Southern Africa,24.0,-29.0,1995,1519,male
Southern Asia,78.0,23.0,Southern Africa,24.0,-29.0,1995,12492,male
Western Asia,40.0,33.0,Southern Africa,24.0,-29.0,1995,2957,male
Eastern Europe,30.0,50.0,Southern Africa,24.0,-29.0,1995,5502,male
Northern Europe,15.0,60.0,Southern Africa,24.0,-29.0,1995,54607,male
Southern Europe,15.0,41.0,Southern Africa,24.0,-29.0,1995,17395,male
Western Europe,2.0,48.0,Southern Africa,24.0,-29.0,1995,30816,male
Caribbean,-75.0,18.0,Southern Africa,24.0,-29.0,1995,1027,male
Central America,-86.0,15.0,Southern Africa,24.0,-29.0,1995,119,male
South America,-60.0,-10.0,Southern Africa,24.0,-29.0,1995,1670,male
NORTHERN AMERICA,-100.0,45.0,Southern Africa,24.0,-29.0,1995,5510,male
OCEANIA,140.0,-25.0,Southern Africa,24.0,-29.0,1995,2399,male
Eastern Africa,39.0,-6.5,Western Africa,-2.0,16.0,1995,722,male
Middle Africa,17.0,1.0,Western Africa,-2.0,16.0,1995,22758,male
Northern Africa,18.0,28.0,Western Africa,-2.0,16.0,1995,8322,male
Southern Africa,24.0,-29.0,Western Africa,-2.0,16.0,1995,57,male
Western Africa,-2.0,16.0,Western Africa,-2.0,16.0,1995,2660356,male
Central Asia,63.0,48.0,Western Africa,-2.0,16.0,1995,0,male
Eastern Asia,116.0,39.0,Western Africa,-2.0,16.0,1995,1087,male
South-Eastern Asia,108.0,4.0,Western Africa,-2.0,16.0,1995,20,male
Southern Asia,78.0,23.0,Western Africa,-2.0,16.0,1995,1021,male
Western Asia,40.0,33.0,Western Africa,-2.0,16.0,1995,5950,male
Eastern Europe,30.0,50.0,Western Africa,-2.0,16.0,1995,694,male
Northern Europe,15.0,60.0,Western Africa,-2.0,16.0,1995,2053,male
Southern Europe,15.0,41.0,Western Africa,-2.0,16.0,1995,1693,male
Western Europe,2.0,48.0,Western Africa,-2.0,16.0,1995,11332,male
Caribbean,-75.0,18.0,Western Africa,-2.0,16.0,1995,100,male
Central America,-86.0,15.0,Western Africa,-2.0,16.0,1995,3,male
South America,-60.0,-10.0,Western Africa,-2.0,16.0,1995,637,male
NORTHERN AMERICA,-100.0,45.0,Western Africa,-2.0,16.0,1995,3489,male
OCEANIA,140.0,-25.0,Western Africa,-2.0,16.0,1995,6,male
Eastern Africa,39.0,-6.5,Central Asia,63.0,48.0,1995,15,male
Middle Africa,17.0,1.0,Central Asia,63.0,48.0,1995,0,male
Northern Africa,18.0,28.0,Central Asia,63.0,48.0,1995,71,male
Southern Africa,24.0,-29.0,Central Asia,63.0,48.0,1995,0,male
Western Africa,-2.0,16.0,Central Asia,63.0,48.0,1995,14,male
Central Asia,63.0,48.0,Central Asia,63.0,48.0,1995,206072,male
Eastern Asia,116.0,39.0,Central Asia,63.0,48.0,1995,33116,male
South-Eastern Asia,108.0,4.0,Central Asia,63.0,48.0,1995,154,male
Southern Asia,78.0,23.0,Central Asia,63.0,48.0,1995,9292,male
Western Asia,40.0,33.0,Central Asia,63.0,48.0,1995,77176,male
Eastern Europe,30.0,50.0,Central Asia,63.0,48.0,1995,2120025,male
Northern Europe,15.0,60.0,Central Asia,63.0,48.0,1995,7016,male
Southern Europe,15.0,41.0,Central Asia,63.0,48.0,1995,0,male
Western Europe,2.0,48.0,Central Asia,63.0,48.0,1995,11696,male
Caribbean,-75.0,18.0,Central Asia,63.0,48.0,1995,14,male
Central America,-86.0,15.0,Central Asia,63.0,48.0,1995,0,male
South America,-60.0,-10.0,Central Asia,63.0,48.0,1995,0,male
NORTHERN AMERICA,-100.0,45.0,Central Asia,63.0,48.0,1995,206,male
OCEANIA,140.0,-25.0,Central Asia,63.0,48.0,1995,63,male
Eastern Africa,39.0,-6.5,Eastern Asia,116.0,39.0,1995,0,male
Middle Africa,17.0,1.0,Eastern Asia,116.0,39.0,1995,0,male
Northern Africa,18.0,28.0,Eastern Asia,116.0,39.0,1995,309,male
Southern Africa,24.0,-29.0,Eastern Asia,116.0,39.0,1995,83,male
Western Africa,-2.0,16.0,Eastern Asia,116.0,39.0,1995,1294,male
Central Asia,63.0,48.0,Eastern Asia,116.0,39.0,1995,2109,male
Eastern Asia,116.0,39.0,Eastern Asia,116.0,39.0,1995,1604987,male
South-Eastern Asia,108.0,4.0,Eastern Asia,116.0,39.0,1995,276105,male
Southern Asia,78.0,23.0,Eastern Asia,116.0,39.0,1995,38227,male
Western Asia,40.0,33.0,Eastern Asia,116.0,39.0,1995,72,male
Eastern Europe,30.0,50.0,Eastern Asia,116.0,39.0,1995,3452,male
Northern Europe,15.0,60.0,Eastern Asia,116.0,39.0,1995,18386,male
Southern Europe,15.0,41.0,Eastern Asia,116.0,39.0,1995,3848,male
Western Europe,2.0,48.0,Eastern Asia,116.0,39.0,1995,9265,male
Caribbean,-75.0,18.0,Eastern Asia,116.0,39.0,1995,0,male
Central America,-86.0,15.0,Eastern Asia,116.0,39.0,1995,602,male
South America,-60.0,-10.0,Eastern Asia,116.0,39.0,1995,113139,male
NORTHERN AMERICA,-100.0,45.0,Eastern Asia,116.0,39.0,1995,52385,male
OCEANIA,140.0,-25.0,Eastern Asia,116.0,39.0,1995,10334,male
Eastern Africa,39.0,-6.5,South-Eastern Asia,108.0,4.0,1995,81,male
Middle Africa,17.0,1.0,South-Eastern Asia,108.0,4.0,1995,514,male
Northern Africa,18.0,28.0,South-Eastern Asia,108.0,4.0,1995,5211,male
Southern Africa,24.0,-29.0,South-Eastern Asia,108.0,4.0,1995,135,male
Western Africa,-2.0,16.0,South-Eastern Asia,108.0,4.0,1995,60,male
Central Asia,63.0,48.0,South-Eastern Asia,108.0,4.0,1995,0,male
Eastern Asia,116.0,39.0,South-Eastern Asia,108.0,4.0,1995,319385,male
South-Eastern Asia,108.0,4.0,South-Eastern Asia,108.0,4.0,1995,1149085,male
Southern Asia,78.0,23.0,South-Eastern Asia,108.0,4.0,1995,168890,male
Western Asia,40.0,33.0,South-Eastern Asia,108.0,4.0,1995,5564,male
Eastern Europe,30.0,50.0,South-Eastern Asia,108.0,4.0,1995,46,male
Northern Europe,15.0,60.0,South-Eastern Asia,108.0,4.0,1995,17776,male
Southern Europe,15.0,41.0,South-Eastern Asia,108.0,4.0,1995,1284,male
Western Europe,2.0,48.0,South-Eastern Asia,108.0,4.0,1995,5710,male
Caribbean,-75.0,18.0,South-Eastern Asia,108.0,4.0,1995,60,male
Central America,-86.0,15.0,South-Eastern Asia,108.0,4.0,1995,57,male
South America,-60.0,-10.0,South-Eastern Asia,108.0,4.0,1995,462,male
NORTHERN AMERICA,-100.0,45.0,South-Eastern Asia,108.0,4.0,1995,23394,male
OCEANIA,140.0,-25.0,South-Eastern Asia,108.0,4.0,1995,9784,male
Eastern Africa,39.0,-6.5,Southern Asia,78.0,23.0,1995,4444,male
Middle Africa,17.0,1.0,Southern Asia,78.0,23.0,1995,0,male
Northern Africa,18.0,28.0,Southern Asia,78.0,23.0,1995,29,male
Southern Africa,24.0,-29.0,Southern Asia,78.0,23.0,1995,25,male
Western Africa,-2.0,16.0,Southern Asia,78.0,23.0,1995,570,male
Central Asia,63.0,48.0,Southern Asia,78.0,23.0,1995,21966,male
Eastern Asia,116.0,39.0,Southern Asia,78.0,23.0,1995,140681,male
South-Eastern Asia,108.0,4.0,Southern Asia,78.0,23.0,1995,351721,male
Southern Asia,78.0,23.0,Southern Asia,78.0,23.0,1995,7131572,male
Western Asia,40.0,33.0,Southern Asia,78.0,23.0,1995,153389,male
Eastern Europe,30.0,50.0,Southern Asia,78.0,23.0,1995,1258,male
Northern Europe,15.0,60.0,Southern Asia,78.0,23.0,1995,15345,male
Southern Europe,15.0,41.0,Southern Asia,78.0,23.0,1995,845,male
Western Europe,2.0,48.0,Southern Asia,78.0,23.0,1995,3881,male
Caribbean,-75.0,18.0,Southern Asia,78.0,23.0,1995,3,male
Central America,-86.0,15.0,Southern Asia,78.0,23.0,1995,0,male
South America,-60.0,-10.0,Southern Asia,78.0,23.0,1995,2909,male
NORTHERN AMERICA,-100.0,45.0,Southern Asia,78.0,23.0,1995,20599,male
OCEANIA,140.0,-25.0,Southern Asia,78.0,23.0,1995,1534,male
Eastern Africa,39.0,-6.5,Western Asia,40.0,33.0,1995,124804,male
Middle Africa,17.0,1.0,Western Asia,40.0,33.0,1995,5441,male
Northern Africa,18.0,28.0,Western Asia,40.0,33.0,1995,1060876,male
Southern Africa,24.0,-29.0,Western Asia,40.0,33.0,1995,5432,male
Western Africa,-2.0,16.0,Western Asia,40.0,33.0,1995,2747,male
Central Asia,63.0,48.0,Western Asia,40.0,33.0,1995,49743,male
Eastern Asia,116.0,39.0,Western Asia,40.0,33.0,1995,3227,male
South-Eastern Asia,108.0,4.0,Western Asia,40.0,33.0,1995,911302,male
Southern Asia,78.0,23.0,Western Asia,40.0,33.0,1995,3675085,male
Western Asia,40.0,33.0,Western Asia,40.0,33.0,1995,2406198,male
Eastern Europe,30.0,50.0,Western Asia,40.0,33.0,1995,613717,male
Northern Europe,15.0,60.0,Western Asia,40.0,33.0,1995,53562,male
Southern Europe,15.0,41.0,Western Asia,40.0,33.0,1995,95702,male
Western Europe,2.0,48.0,Western Asia,40.0,33.0,1995,169301,male
Caribbean,-75.0,18.0,Western Asia,40.0,33.0,1995,61,male
Central America,-86.0,15.0,Western Asia,40.0,33.0,1995,881,male
South America,-60.0,-10.0,Western Asia,40.0,33.0,1995,22219,male
NORTHERN AMERICA,-100.0,45.0,Western Asia,40.0,33.0,1995,49724,male
OCEANIA,140.0,-25.0,Western Asia,40.0,33.0,1995,3182,male
Eastern Africa,39.0,-6.5,Eastern Europe,30.0,50.0,1995,2116,male
Middle Africa,17.0,1.0,Eastern Europe,30.0,50.0,1995,1416,male
Northern Africa,18.0,28.0,Eastern Europe,30.0,50.0,1995,7432,male
Southern Africa,24.0,-29.0,Eastern Europe,30.0,50.0,1995,606,male
Western Africa,-2.0,16.0,Eastern Europe,30.0,50.0,1995,2814,male
Central Asia,63.0,48.0,Eastern Europe,30.0,50.0,1995,2518612,male
Eastern Asia,116.0,39.0,Eastern Europe,30.0,50.0,1995,62519,male
South-Eastern Asia,108.0,4.0,Eastern Europe,30.0,50.0,1995,32583,male
Southern Asia,78.0,23.0,Eastern Europe,30.0,50.0,1995,31021,male
Western Asia,40.0,33.0,Eastern Europe,30.0,50.0,1995,1266911,male
Eastern Europe,30.0,50.0,Eastern Europe,30.0,50.0,1995,5421090,male
Northern Europe,15.0,60.0,Eastern Europe,30.0,50.0,1995,216438,male
Southern Europe,15.0,41.0,Eastern Europe,30.0,50.0,1995,44454,male
Western Europe,2.0,48.0,Eastern Europe,30.0,50.0,1995,181519,male
Caribbean,-75.0,18.0,Eastern Europe,30.0,50.0,1995,2180,male
Central America,-86.0,15.0,Eastern Europe,30.0,50.0,1995,488,male
South America,-60.0,-10.0,Eastern Europe,30.0,50.0,1995,3711,male
NORTHERN AMERICA,-100.0,45.0,Eastern Europe,30.0,50.0,1995,13163,male
OCEANIA,140.0,-25.0,Eastern Europe,30.0,50.0,1995,2146,male
Eastern Africa,39.0,-6.5,Northern Europe,15.0,60.0,1995,191348,male
Middle Africa,17.0,1.0,Northern Europe,15.0,60.0,1995,8061,male
Northern Africa,18.0,28.0,Northern Europe,15.0,60.0,1995,48930,male
Southern Africa,24.0,-29.0,Northern Europe,15.0,60.0,1995,52055,male
Western Africa,-2.0,16.0,Northern Europe,15.0,60.0,1995,72563,male
Central Asia,63.0,48.0,Northern Europe,15.0,60.0,1995,15445,male
Eastern Asia,116.0,39.0,Northern Europe,15.0,60.0,1995,113475,male
South-Eastern Asia,108.0,4.0,Northern Europe,15.0,60.0,1995,94346,male
Southern Asia,78.0,23.0,Northern Europe,15.0,60.0,1995,541244,male
Western Asia,40.0,33.0,Northern Europe,15.0,60.0,1995,209622,male
Eastern Europe,30.0,50.0,Northern Europe,15.0,60.0,1995,554767,male
Northern Europe,15.0,60.0,Northern Europe,15.0,60.0,1995,622658,male
Southern Europe,15.0,41.0,Northern Europe,15.0,60.0,1995,193314,male
Western Europe,2.0,48.0,Northern Europe,15.0,60.0,1995,221959,male
Caribbean,-75.0,18.0,Northern Europe,15.0,60.0,1995,100611,male
Central America,-86.0,15.0,Northern Europe,15.0,60.0,1995,5604,male
South America,-60.0,-10.0,Northern Europe,15.0,60.0,1995,57264,male
NORTHERN AMERICA,-100.0,45.0,Northern Europe,15.0,60.0,1995,152561,male
OCEANIA,140.0,-25.0,Northern Europe,15.0,60.0,1995,68647,male
Eastern Africa,39.0,-6.5,Southern Europe,15.0,41.0,1995,50363,male
Middle Africa,17.0,1.0,Southern Europe,15.0,41.0,1995,86720,male
Northern Africa,18.0,28.0,Southern Europe,15.0,41.0,1995,357551,male
Southern Africa,24.0,-29.0,Southern Europe,15.0,41.0,1995,6611,male
Western Africa,-2.0,16.0,Southern Europe,15.0,41.0,1995,118077,male
Central Asia,63.0,48.0,Southern Europe,15.0,41.0,1995,19678,male
Eastern Asia,116.0,39.0,Southern Europe,15.0,41.0,1995,37320,male
South-Eastern Asia,108.0,4.0,Southern Europe,15.0,41.0,1995,29520,male
Southern Asia,78.0,23.0,Southern Europe,15.0,41.0,1995,88170,male
Western Asia,40.0,33.0,Southern Europe,15.0,41.0,1995,118962,male
Eastern Europe,30.0,50.0,Southern Europe,15.0,41.0,1995,131651,male
Northern Europe,15.0,60.0,Southern Europe,15.0,41.0,1995,86911,male
Southern Europe,15.0,41.0,Southern Europe,15.0,41.0,1995,1105795,male
Western Europe,2.0,48.0,Southern Europe,15.0,41.0,1995,308186,male
Caribbean,-75.0,18.0,Southern Europe,15.0,41.0,1995,23403,male
Central America,-86.0,15.0,Southern Europe,15.0,41.0,1995,10131,male
South America,-60.0,-10.0,Southern Europe,15.0,41.0,1995,150828,male
NORTHERN AMERICA,-100.0,45.0,Southern Europe,15.0,41.0,1995,61730,male
OCEANIA,140.0,-25.0,Southern Europe,15.0,41.0,1995,17334,male
Eastern Africa,39.0,-6.5,Western Europe,2.0,48.0,1995,99022,male
Middle Africa,17.0,1.0,Western Europe,2.0,48.0,1995,130585,male
Northern Africa,18.0,28.0,Western Europe,2.0,48.0,1995,1391838,male
Southern Africa,24.0,-29.0,Western Europe,2.0,48.0,1995,11666,male
Western Africa,-2.0,16.0,Western Europe,2.0,48.0,1995,225000,male
Central Asia,63.0,48.0,Western Europe,2.0,48.0,1995,125111,male
Eastern Asia,116.0,39.0,Western Europe,2.0,48.0,1995,116479,male
South-Eastern Asia,108.0,4.0,Western Europe,2.0,48.0,1995,294715,male
Southern Asia,78.0,23.0,Western Europe,2.0,48.0,1995,310008,male
Western Asia,40.0,33.0,Western Europe,2.0,48.0,1995,1422006,male
Eastern Europe,30.0,50.0,Western Europe,2.0,48.0,1995,1030016,male
Northern Europe,15.0,60.0,Western Europe,2.0,48.0,1995,237760,male
Southern Europe,15.0,41.0,Western Europe,2.0,48.0,1995,2719272,male
Western Europe,2.0,48.0,Western Europe,2.0,48.0,1995,895814,male
Caribbean,-75.0,18.0,Western Europe,2.0,48.0,1995,26508,male
Central America,-86.0,15.0,Western Europe,2.0,48.0,1995,15675,male
South America,-60.0,-10.0,Western Europe,2.0,48.0,1995,172142,male
NORTHERN AMERICA,-100.0,45.0,Western Europe,2.0,48.0,1995,130718,male
OCEANIA,140.0,-25.0,Western Europe,2.0,48.0,1995,16411,male
Eastern Africa,39.0,-6.5,Caribbean,-75.0,18.0,1995,269,male
Middle Africa,17.0,1.0,Caribbean,-75.0,18.0,1995,105,male
Northern Africa,18.0,28.0,Caribbean,-75.0,18.0,1995,176,male
Southern Africa,24.0,-29.0,Caribbean,-75.0,18.0,1995,218,male
Western Africa,-2.0,16.0,Caribbean,-75.0,18.0,1995,373,male
Central Asia,63.0,48.0,Caribbean,-75.0,18.0,1995,4,male
Eastern Asia,116.0,39.0,Caribbean,-75.0,18.0,1995,5226,male
South-Eastern Asia,108.0,4.0,Caribbean,-75.0,18.0,1995,885,male
Southern Asia,78.0,23.0,Caribbean,-75.0,18.0,1995,2059,male
Western Asia,40.0,33.0,Caribbean,-75.0,18.0,1995,1527,male
Eastern Europe,30.0,50.0,Caribbean,-75.0,18.0,1995,2459,male
Northern Europe,15.0,60.0,Caribbean,-75.0,18.0,1995,9751,male
Southern Europe,15.0,41.0,Caribbean,-75.0,18.0,1995,19660,male
Western Europe,2.0,48.0,Caribbean,-75.0,18.0,1995,50898,male
Caribbean,-75.0,18.0,Caribbean,-75.0,18.0,1995,268017,male
Central America,-86.0,15.0,Caribbean,-75.0,18.0,1995,8163,male
South America,-60.0,-10.0,Caribbean,-75.0,18.0,1995,37369,male
NORTHERN AMERICA,-100.0,45.0,Caribbean,-75.0,18.0,1995,139835,male
OCEANIA,140.0,-25.0,Caribbean,-75.0,18.0,1995,167,male
Eastern Africa,39.0,-6.5,Central America,-86.0,15.0,1995,42,male
Middle Africa,17.0,1.0,Central America,-86.0,15.0,1995,57,male
Northern Africa,18.0,28.0,Central America,-86.0,15.0,1995,342,male
Southern Africa,24.0,-29.0,Central America,-86.0,15.0,1995,71,male
Western Africa,-2.0,16.0,Central America,-86.0,15.0,1995,171,male
Central Asia,63.0,48.0,Central America,-86.0,15.0,1995,0,male
Eastern Asia,116.0,39.0,Central America,-86.0,15.0,1995,12934,male
South-Eastern Asia,108.0,4.0,Central America,-86.0,15.0,1995,806,male
Southern Asia,78.0,23.0,Central America,-86.0,15.0,1995,1768,male
Western Asia,40.0,33.0,Central America,-86.0,15.0,1995,3434,male
Eastern Europe,30.0,50.0,Central America,-86.0,15.0,1995,2753,male
Northern Europe,15.0,60.0,Central America,-86.0,15.0,1995,3293,male
Southern Europe,15.0,41.0,Central America,-86.0,15.0,1995,21041,male
Western Europe,2.0,48.0,Central America,-86.0,15.0,1995,10788,male
Caribbean,-75.0,18.0,Central America,-86.0,15.0,1995,10967,male
Central America,-86.0,15.0,Central America,-86.0,15.0,1995,301412,male
South America,-60.0,-10.0,Central America,-86.0,15.0,1995,35159,male
NORTHERN AMERICA,-100.0,45.0,Central America,-86.0,15.0,1995,155611,male
OCEANIA,140.0,-25.0,Central America,-86.0,15.0,1995,249,male
Eastern Africa,39.0,-6.5,South America,-60.0,-10.0,1995,1078,male
Middle Africa,17.0,1.0,South America,-60.0,-10.0,1995,3166,male
Northern Africa,18.0,28.0,South America,-60.0,-10.0,1995,3841,male
Southern Africa,24.0,-29.0,South America,-60.0,-10.0,1995,243,male
Western Africa,-2.0,16.0,South America,-60.0,-10.0,1995,212,male
Central Asia,63.0,48.0,South America,-60.0,-10.0,1995,3,male
Eastern Asia,116.0,39.0,South America,-60.0,-10.0,1995,75400,male
South-Eastern Asia,108.0,4.0,South America,-60.0,-10.0,1995,1305,male
Southern Asia,78.0,23.0,South America,-60.0,-10.0,1995,1440,male
Western Asia,40.0,33.0,South America,-60.0,-10.0,1995,34827,male
Eastern Europe,30.0,50.0,South America,-60.0,-10.0,1995,37960,male
Northern Europe,15.0,60.0,South America,-60.0,-10.0,1995,10377,male
Southern Europe,15.0,41.0,South America,-60.0,-10.0,1995,579873,male
Western Europe,2.0,48.0,South America,-60.0,-10.0,1995,68959,male
Caribbean,-75.0,18.0,South America,-60.0,-10.0,1995,32254,male
Central America,-86.0,15.0,South America,-60.0,-10.0,1995,20403,male
South America,-60.0,-10.0,South America,-60.0,-10.0,1995,1100657,male
NORTHERN AMERICA,-100.0,45.0,South America,-60.0,-10.0,1995,45750,male
OCEANIA,140.0,-25.0,South America,-60.0,-10.0,1995,1062,male
Eastern Africa,39.0,-6.5,NORTHERN AMERICA,-100.0,45.0,1995,128824,male
Middle Africa,17.0,1.0,NORTHERN AMERICA,-100.0,45.0,1995,12203,male
Northern Africa,18.0,28.0,NORTHERN AMERICA,-100.0,45.0,1995,116855,male
Southern Africa,24.0,-29.0,NORTHERN AMERICA,-100.0,45.0,1995,39003,male
Western Africa,-2.0,16.0,NORTHERN AMERICA,-100.0,45.0,1995,144014,male
Central Asia,63.0,48.0,NORTHERN AMERICA,-100.0,45.0,1995,18497,male
Eastern Asia,116.0,39.0,NORTHERN AMERICA,-100.0,45.0,1995,1417131,male
South-Eastern Asia,108.0,4.0,NORTHERN AMERICA,-100.0,45.0,1995,1316910,male
Southern Asia,78.0,23.0,NORTHERN AMERICA,-100.0,45.0,1995,927638,male
Western Asia,40.0,33.0,NORTHERN AMERICA,-100.0,45.0,1995,380221,male
Eastern Europe,30.0,50.0,NORTHERN AMERICA,-100.0,45.0,1995,830851,male
Northern Europe,15.0,60.0,NORTHERN AMERICA,-100.0,45.0,1995,845590,male
Southern Europe,15.0,41.0,NORTHERN AMERICA,-100.0,45.0,1995,843836,male
Western Europe,2.0,48.0,NORTHERN AMERICA,-100.0,45.0,1995,726274,male
Caribbean,-75.0,18.0,NORTHERN AMERICA,-100.0,45.0,1995,1879413,male
Central America,-86.0,15.0,NORTHERN AMERICA,-100.0,45.0,1995,4516425,male
South America,-60.0,-10.0,NORTHERN AMERICA,-100.0,45.0,1995,759825,male
NORTHERN AMERICA,-100.0,45.0,NORTHERN AMERICA,-100.0,45.0,1995,390326,male
OCEANIA,140.0,-25.0,NORTHERN AMERICA,-100.0,45.0,1995,76102,male
Eastern Africa,39.0,-6.5,OCEANIA,140.0,-25.0,1995,27570,male
Middle Africa,17.0,1.0,OCEANIA,140.0,-25.0,1995,470,male
Northern Africa,18.0,28.0,OCEANIA,140.0,-25.0,1995,26031,male
Southern Africa,24.0,-29.0,OCEANIA,140.0,-25.0,1995,35923,male
Western Africa,-2.0,16.0,OCEANIA,140.0,-25.0,1995,2221,male
Central Asia,63.0,48.0,OCEANIA,140.0,-25.0,1995,370,male
Eastern Asia,116.0,39.0,OCEANIA,140.0,-25.0,1995,148198,male
South-Eastern Asia,108.0,4.0,OCEANIA,140.0,-25.0,1995,273118,male
Southern Asia,78.0,23.0,OCEANIA,140.0,-25.0,1995,104028,male
Western Asia,40.0,33.0,OCEANIA,140.0,-25.0,1995,95317,male
Eastern Europe,30.0,50.0,OCEANIA,140.0,-25.0,1995,88741,male
Northern Europe,15.0,60.0,OCEANIA,140.0,-25.0,1995,722469,male
Southern Europe,15.0,41.0,OCEANIA,140.0,-25.0,1995,359877,male
Western Europe,2.0,48.0,OCEANIA,140.0,-25.0,1995,186276,male
Caribbean,-75.0,18.0,OCEANIA,140.0,-25.0,1995,2485,male
