origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes,genero
Central Asia,63.0,48.0,Western Africa,-2.0,16.0,1990,0,male
Eastern Asia,116.0,39.0,Western Africa,-2.0,16.0,1990,1097,male
South-Eastern Asia,108.0,4.0,Western Africa,-2.0,16.0,1990,16,male
Southern Asia,78.0,23.0,Western Africa,-2.0,16.0,1990,1028,male
Western Asia,40.0,33.0,Western Africa,-2.0,16.0,1990,5962,male
Eastern Europe,30.0,50.0,Western Africa,-2.0,16.0,1990,659,male
Northern Europe,15.0,60.0,Western Africa,-2.0,16.0,1990,2097,male
Southern Europe,15.0,41.0,Western Africa,-2.0,16.0,1990,1644,male
Western Europe,2.0,48.0,Western Africa,-2.0,16.0,1990,11341,male
Caribbean,-75.0,18.0,Western Africa,-2.0,16.0,1990,72,male
Central America,-86.0,15.0,Western Africa,-2.0,16.0,1990,2,male
South America,-60.0,-10.0,Western Africa,-2.0,16.0,1990,558,male
NORTHERN AMERICA,-100.0,45.0,Western Africa,-2.0,16.0,1990,3337,male
OCEANIA,140.0,-25.0,Western Africa,-2.0,16.0,1990,5,male
Eastern Africa,39.0,-6.5,Central Asia,63.0,48.0,1990,18,male
Middle Africa,17.0,1.0,Central Asia,63.0,48.0,1990,0,male
Northern Africa,18.0,28.0,Central Asia,63.0,48.0,1990,88,male
Southern Africa,24.0,-29.0,Central Asia,63.0,48.0,1990,0,male
Western Africa,-2.0,16.0,Central Asia,63.0,48.0,1990,17,male
Central Asia,63.0,48.0,Central Asia,63.0,48.0,1990,200225,male
Eastern Asia,116.0,39.0,Central Asia,63.0,48.0,1990,30788,male
South-Eastern Asia,108.0,4.0,Central Asia,63.0,48.0,1990,176,male
Southern Asia,78.0,23.0,Central Asia,63.0,48.0,1990,6409,male
Western Asia,40.0,33.0,Central Asia,63.0,48.0,1990,78054,male
Eastern Europe,30.0,50.0,Central Asia,63.0,48.0,1990,2390433,male
Northern Europe,15.0,60.0,Central Asia,63.0,48.0,1990,7823,male
Southern Europe,15.0,41.0,Central Asia,63.0,48.0,1990,0,male
Western Europe,2.0,48.0,Central Asia,63.0,48.0,1990,15922,male
Caribbean,-75.0,18.0,Central Asia,63.0,48.0,1990,17,male
Central America,-86.0,15.0,Central Asia,63.0,48.0,1990,0,male
South America,-60.0,-10.0,Central Asia,63.0,48.0,1990,0,male
NORTHERN AMERICA,-100.0,45.0,Central Asia,63.0,48.0,1990,219,male
OCEANIA,140.0,-25.0,Central Asia,63.0,48.0,1990,74,male
Eastern Africa,39.0,-6.5,Eastern Asia,116.0,39.0,1990,0,male
Middle Africa,17.0,1.0,Eastern Asia,116.0,39.0,1990,0,male
Northern Africa,18.0,28.0,Eastern Asia,116.0,39.0,1990,187,male
Southern Africa,24.0,-29.0,Eastern Asia,116.0,39.0,1990,0,male
Western Africa,-2.0,16.0,Eastern Asia,116.0,39.0,1990,403,male
Central Asia,63.0,48.0,Eastern Asia,116.0,39.0,1990,339,male
Eastern Asia,116.0,39.0,Eastern Asia,116.0,39.0,1990,1513079,male
South-Eastern Asia,108.0,4.0,Eastern Asia,116.0,39.0,1990,230994,male
Southern Asia,78.0,23.0,Eastern Asia,116.0,39.0,1990,20649,male
Western Asia,40.0,33.0,Eastern Asia,116.0,39.0,1990,62,male
Eastern Europe,30.0,50.0,Eastern Asia,116.0,39.0,1990,1907,male
Northern Europe,15.0,60.0,Eastern Asia,116.0,39.0,1990,15631,male
Southern Europe,15.0,41.0,Eastern Asia,116.0,39.0,1990,3396,male
Western Europe,2.0,48.0,Eastern Asia,116.0,39.0,1990,8214,male
Caribbean,-75.0,18.0,Eastern Asia,116.0,39.0,1990,0,male
Central America,-86.0,15.0,Eastern Asia,116.0,39.0,1990,400,male
South America,-60.0,-10.0,Eastern Asia,116.0,39.0,1990,37658,male
NORTHERN AMERICA,-100.0,45.0,Eastern Asia,116.0,39.0,1990,41629,male
OCEANIA,140.0,-25.0,Eastern Asia,116.0,39.0,1990,7813,male
Eastern Africa,39.0,-6.5,South-Eastern Asia,108.0,4.0,1990,36,male
Middle Africa,17.0,1.0,South-Eastern Asia,108.0,4.0,1990,389,male
Northern Africa,18.0,28.0,South-Eastern Asia,108.0,4.0,1990,7171,male
Southern Africa,24.0,-29.0,South-Eastern Asia,108.0,4.0,1990,102,male
Western Africa,-2.0,16.0,South-Eastern Asia,108.0,4.0,1990,45,male
Central Asia,63.0,48.0,South-Eastern Asia,108.0,4.0,1990,0,male
Eastern Asia,116.0,39.0,South-Eastern Asia,108.0,4.0,1990,349353,male
South-Eastern Asia,108.0,4.0,South-Eastern Asia,108.0,4.0,1990,724169,male
