origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes
Western Asia,40.0,33.0,Western Africa,-2.0,16.0,1990,10513
Eastern Europe,30.0,50.0,Western Africa,-2.0,16.0,1990,1241
Northern Europe,15.0,60.0,Western Africa,-2.0,16.0,1990,3990
Southern Europe,15.0,41.0,Western Africa,-2.0,16.0,1990,3077
Western Europe,2.0,48.0,Western Africa,-2.0,16.0,1990,22356
Caribbean,-75.0,18.0,Western Africa,-2.0,16.0,1990,150
Central America,-86.0,15.0,Western Africa,-2.0,16.0,1990,4
South America,-60.0,-10.0,Western Africa,-2.0,16.0,1990,1080
NORTHERN AMERICA,-100.0,45.0,Western Africa,-2.0,16.0,1990,6845
OCEANIA,140.0,-25.0,Western Africa,-2.0,16.0,1990,17
Eastern Africa,39.0,-6.5,Central Asia,63.0,48.0,1990,38
Middle Africa,17.0,1.0,Central Asia,63.0,48.0,1990,0
Northern Africa,18.0,28.0,Central Asia,63.0,48.0,1990,198
Southern Africa,24.0,-29.0,Central Asia,63.0,48.0,1990,0
Western Africa,-2.0,16.0,Central Asia,63.0,48.0,1990,37
Central Asia,63.0,48.0,Central Asia,63.0,48.0,1990,433741
Eastern Asia,116.0,39.0,Central Asia,63.0,48.0,1990,64886
South-Eastern Asia,108.0,4.0,Central Asia,63.0,48.0,1990,410
Southern Asia,78.0,23.0,Central Asia,63.0,48.0,1990,14431
Western Asia,40.0,33.0,Central Asia,63.0,48.0,1990,158106
Eastern Europe,30.0,50.0,Central Asia,63.0,48.0,1990,5385364
Northern Europe,15.0,60.0,Central Asia,63.0,48.0,1990,16792
Southern Europe,15.0,41.0,Central Asia,63.0,48.0,1990,0
Western Europe,2.0,48.0,Central Asia,63.0,48.0,1990,36645
Caribbean,-75.0,18.0,Central Asia,63.0,48.0,1990,37
Central America,-86.0,15.0,Central Asia,63.0,48.0,1990,0
South America,-60.0,-10.0,Central Asia,63.0,48.0,1990,0
NORTHERN AMERICA,-100.0,45.0,Central Asia,63.0,48.0,1990,494
OCEANIA,140.0,-25.0,Central Asia,63.0,48.0,1990,166
Eastern Africa,39.0,-6.5,Eastern Asia,116.0,39.0,1990,0
Middle Africa,17.0,1.0,Eastern Asia,116.0,39.0,1990,0
