origen,destino,year,num_migrantes,continentes
Western Europe,High-income countries,2000,5796696,Europa
Caribbean,High-income countries,2000,5563828,Latinoamerica
Central America,High-income countries,2000,11742187,Latinoamerica
South America,High-income countries,2000,3975182,Latinoamerica
Eastern Africa,Middle-income countries,2000,2470178,África
Middle Africa,Middle-income countries,2000,1017528,África
Northern Africa,Middle-income countries,2000,815656,África
Southern Africa,Middle-income countries,2000,282512,África
Western Africa,Middle-income countries,2000,3308014,África
Central Asia,Middle-income countries,2000,5675100,Asia
Eastern Asia,Middle-income countries,2000,1033318,Asia
South-Eastern Asia,Middle-income countries,2000,3770309,Asia
Southern Asia,Middle-income countries,2000,13839846,Asia
Western Asia,Middle-income countries,2000,6632109,Asia
Eastern Europe,Middle-income countries,2000,14925695,Europa
Northern Europe,Middle-income countries,2000,720167,Europa
Southern Europe,Middle-income countries,2000,2328817,Europa
Western Europe,Middle-income countries,2000,817393,Europa
Caribbean,Middle-income countries,2000,340109,Latinoamerica
Central America,Middle-income countries,2000,485995,Latinoamerica
South America,Middle-income countries,2000,2421821,Latinoamerica
Eastern Africa,Low-income countries,2000,2188525,África
Middle Africa,Low-income countries,2000,858682,África
Northern Africa,Low-income countries,2000,492342,África
Southern Africa,Low-income countries,2000,25769,África
Western Africa,Low-income countries,2000,1850428,África
Central Asia,Low-income countries,2000,55865,Asia
Eastern Asia,Low-income countries,2000,30248,Asia
South-Eastern Asia,Low-income countries,2000,3969,Asia
Southern Asia,Low-income countries,2000,60100,Asia
Western Asia,Low-income countries,2000,406488,Asia
Eastern Europe,Low-income countries,2000,256402,Europa
Northern Europe,Low-income countries,2000,6395,Europa
Southern Europe,Low-income countries,2000,7286,Europa
Western Europe,Low-income countries,2000,33127,Europa
Caribbean,Low-income countries,2000,4766,Latinoamerica
Central America,Low-income countries,2000,521,Latinoamerica
South America,Low-income countries,2000,6629,Latinoamerica
Eastern Africa,High-income countries,2005,1804683,África
Middle Africa,High-income countries,2005,719051,África
Northern Africa,High-income countries,2005,6591334,África
Southern Africa,High-income countries,2005,526640,África
Western Africa,High-income countries,2005,1716603,África
Central Asia,High-income countries,2005,984547,Asia
Eastern Asia,High-income countries,2005,9816796,Asia
South-Eastern Asia,High-income countries,2005,9745758,Asia
Southern Asia,High-income countries,2005,13836388,Asia
Western Asia,High-income countries,2005,6237895,Asia
Eastern Europe,High-income countries,2005,11174637,Europa
Northern Europe,High-income countries,2005,6021011,Europa
Southern Europe,High-income countries,2005,9414783,Europa
Western Europe,High-income countries,2005,6386626,Europa
Caribbean,High-income countries,2005,6062832,Latinoamerica
Central America,High-income countries,2005,13445463,Latinoamerica
South America,High-income countries,2005,6016319,Latinoamerica
Eastern Africa,Middle-income countries,2005,2482097,África
Middle Africa,Middle-income countries,2005,1025575,África
Northern Africa,Middle-income countries,2005,613439,África
Southern Africa,Middle-income countries,2005,346644,África
Western Africa,Middle-income countries,2005,4074446,África
Central Asia,Middle-income countries,2005,5883967,Asia
Eastern Asia,Middle-income countries,2005,1167566,Asia
South-Eastern Asia,Middle-income countries,2005,4785753,Asia
Southern Asia,Middle-income countries,2005,12524668,Asia
Western Asia,Middle-income countries,2005,6864472,Asia
Eastern Europe,Middle-income countries,2005,14137359,Europa
Northern Europe,Middle-income countries,2005,752484,Europa
Southern Europe,Middle-income countries,2005,2111404,Europa
Western Europe,Middle-income countries,2005,841515,Europa
Caribbean,Middle-income countries,2005,377094,Latinoamerica
Central America,Middle-income countries,2005,532693,Latinoamerica
South America,Middle-income countries,2005,2790232,Latinoamerica
Eastern Africa,Low-income countries,2005,1823688,África
Middle Africa,Low-income countries,2005,981930,África
Northern Africa,Low-income countries,2005,761269,África
Southern Africa,Low-income countries,2005,31301,África
Western Africa,Low-income countries,2005,1656393,África
Central Asia,Low-income countries,2005,50385,Asia
Eastern Asia,Low-income countries,2005,34231,Asia
South-Eastern Asia,Low-income countries,2005,4650,Asia
Southern Asia,Low-income countries,2005,67572,Asia
Western Asia,Low-income countries,2005,798395,Asia
Eastern Europe,Low-income countries,2005,242790,Europa
Northern Europe,Low-income countries,2005,4832,Europa
Southern Europe,Low-income countries,2005,8155,Europa
Western Europe,Low-income countries,2005,35866,Europa
Caribbean,Low-income countries,2005,4829,Latinoamerica
Central America,Low-income countries,2005,494,Latinoamerica
South America,Low-income countries,2005,6787,Latinoamerica
Eastern Africa,High-income countries,2010,2323548,África
Middle Africa,High-income countries,2010,809140,África
Northern Africa,High-income countries,2010,8047830,África
Southern Africa,High-income countries,2010,668902,África
Western Africa,High-income countries,2010,2153903,África
Central Asia,High-income countries,2010,1204553,Asia
Eastern Asia,High-income countries,2010,11471241,Asia
South-Eastern Asia,High-income countries,2010,12010416,Asia
Southern Asia,High-income countries,2010,20464906,Asia
Western Asia,High-income countries,2010,7367573,Asia
Eastern Europe,High-income countries,2010,13834338,Europa
Northern Europe,High-income countries,2010,6494075,Europa
Southern Europe,High-income countries,2010,9656788,Europa
Western Europe,High-income countries,2010,7104194,Europa
Caribbean,High-income countries,2010,6771383,Latinoamerica
Central America,High-income countries,2010,15608208,Latinoamerica
South America,High-income countries,2010,7587603,Latinoamerica
Eastern Africa,Middle-income countries,2010,2786362,África
Middle Africa,Middle-income countries,2010,1013381,África
Northern Africa,Middle-income countries,2010,640724,África
Southern Africa,Middle-income countries,2010,496167,África
Western Africa,Middle-income countries,2010,4294125,África
Central Asia,Middle-income countries,2010,5980592,Asia
Eastern Asia,Middle-income countries,2010,1349006,Asia
South-Eastern Asia,Middle-income countries,2010,6096309,Asia
Southern Asia,Middle-income countries,2010,13302815,Asia
Western Asia,Middle-income countries,2010,7062368,Asia
Eastern Europe,Middle-income countries,2010,13501785,Europa
Northern Europe,Middle-income countries,2010,678396,Europa
Southern Europe,Middle-income countries,2010,2058615,Europa
Western Europe,Middle-income countries,2010,876739,Europa
Caribbean,Middle-income countries,2010,427246,Latinoamerica
Central America,Middle-income countries,2010,595725,Latinoamerica
South America,Middle-income countries,2010,3513926,Latinoamerica
Eastern Africa,Low-income countries,2010,2321817,África
Middle Africa,Low-income countries,2010,1185022,África
Northern Africa,Low-income countries,2010,562174,África
Southern Africa,Low-income countries,2010,34700,África
Western Africa,Low-income countries,2010,1758842,África
Central Asia,Low-income countries,2010,47150,Asia
Eastern Asia,Low-income countries,2010,41864,Asia
South-Eastern Asia,Low-income countries,2010,6391,Asia
Southern Asia,Low-income countries,2010,82179,Asia
Western Asia,Low-income countries,2010,1631962,Asia
Eastern Europe,Low-income countries,2010,242019,Europa
Northern Europe,Low-income countries,2010,4222,Europa
Southern Europe,Low-income countries,2010,11726,Europa
Western Europe,Low-income countries,2010,30768,Europa
Caribbean,Low-income countries,2010,8926,Latinoamerica
Central America,Low-income countries,2010,518,Latinoamerica
South America,Low-income countries,2010,9031,Latinoamerica
Eastern Africa,High-income countries,2015,2844081,África
Middle Africa,High-income countries,2015,940982,África
Northern Africa,High-income countries,2015,9217559,África
Southern Africa,High-income countries,2015,711599,África
Western Africa,High-income countries,2015,2513935,África
Central Asia,High-income countries,2015,1306417,Asia
Eastern Asia,High-income countries,2015,12865906,Asia
South-Eastern Asia,High-income countries,2015,14002750,Asia
Southern Asia,High-income countries,2015,25806333,Asia
Western Asia,High-income countries,2015,9011999,Asia
Eastern Europe,High-income countries,2015,14672136,Europa
Northern Europe,High-income countries,2015,6659211,Europa
Southern Europe,High-income countries,2015,9901505,Europa
Western Europe,High-income countries,2015,7225454,Europa
Caribbean,High-income countries,2015,7462258,Latinoamerica
Central America,High-income countries,2015,15643964,Latinoamerica
South America,High-income countries,2015,7825301,Latinoamerica
Eastern Africa,Middle-income countries,2015,3326876,África
Middle Africa,Middle-income countries,2015,1287491,África
Northern Africa,Middle-income countries,2015,612612,África
Southern Africa,Middle-income countries,2015,382346,África
Western Africa,Middle-income countries,2015,4958088,África
Central Asia,Middle-income countries,2015,6083876,Asia
Eastern Asia,Middle-income countries,2015,1502623,Asia
South-Eastern Asia,Middle-income countries,2015,6777045,Asia
Southern Asia,Middle-income countries,2015,12944420,Asia
Western Asia,Middle-income countries,2015,11875672,Asia
Eastern Europe,Middle-income countries,2015,13912543,Europa
Northern Europe,Middle-income countries,2015,649495,Europa
Southern Europe,Middle-income countries,2015,2129896,Europa
Western Europe,Middle-income countries,2015,914376,Europa
Caribbean,Middle-income countries,2015,590912,Latinoamerica
Central America,Middle-income countries,2015,646288,Latinoamerica
South America,Middle-income countries,2015,3887042,Latinoamerica
Eastern Africa,Low-income countries,2015,3552492,África
Middle Africa,Low-income countries,2015,1588517,África
Northern Africa,Low-income countries,2015,1083882,África
Southern Africa,Low-income countries,2015,35940,África
Western Africa,Low-income countries,2015,1949013,África
Central Asia,Low-income countries,2015,37739,Asia
Eastern Asia,Low-income countries,2015,47555,Asia
South-Eastern Asia,Low-income countries,2015,7220,Asia
Southern Asia,Low-income countries,2015,302161,Asia
Western Asia,Low-income countries,2015,802947,Asia
Eastern Europe,Low-income countries,2015,237936,Europa
Northern Europe,Low-income countries,2015,4154,Europa
Southern Europe,Low-income countries,2015,12833,Europa
Western Europe,Low-income countries,2015,31173,Europa
Caribbean,Low-income countries,2015,14158,Latinoamerica
Central America,Low-income countries,2015,970,Latinoamerica
South America,Low-income countries,2015,12594,Latinoamerica
Eastern Africa,High-income countries,2020,3414902,África
Middle Africa,High-income countries,2020,1103589,África
Northern Africa,High-income countries,2020,10434689,África
Southern Africa,High-income countries,2020,837126,África
Western Africa,High-income countries,2020,3138680,África
Central Asia,High-income countries,2020,1696981,Asia
Eastern Asia,High-income countries,2020,13177667,Asia
South-Eastern Asia,High-income countries,2020,15840754,Asia
Southern Asia,High-income countries,2020,30613445,Asia
Western Asia,High-income countries,2020,11208180,Asia
Eastern Europe,High-income countries,2020,17626463,Europa
Northern Europe,High-income countries,2020,7187799,Europa
Southern Europe,High-income countries,2020,11722099,Europa
Western Europe,High-income countries,2020,7805258,Europa
Caribbean,High-income countries,2020,8323845,Latinoamerica
Central America,High-income countries,2020,15426093,Latinoamerica
South America,High-income countries,2020,9965039,Latinoamerica
Eastern Africa,Middle-income countries,2020,3393242,África
Middle Africa,Middle-income countries,2020,1430229,África
Northern Africa,Middle-income countries,2020,678733,África
Southern Africa,Middle-income countries,2020,405004,África
Western Africa,Middle-income countries,2020,5291037,África
Central Asia,Middle-income countries,2020,6111536,Asia
Eastern Asia,Middle-income countries,2020,1590681,Asia
South-Eastern Asia,Middle-income countries,2020,7731484,Asia
Southern Asia,Middle-income countries,2020,12644159,Asia
Western Asia,Middle-income countries,2020,13229507,Asia
Eastern Europe,Middle-income countries,2020,14329066,Europa
Northern Europe,Middle-income countries,2020,690709,Europa
Southern Europe,Middle-income countries,2020,2280608,Europa
Western Europe,Middle-income countries,2020,1106008,Europa
Caribbean,Middle-income countries,2020,669410,Latinoamerica
Central America,Middle-income countries,2020,771913,Latinoamerica
South America,Middle-income countries,2020,7573793,Latinoamerica
Eastern Africa,Low-income countries,2020,5091593,África
Middle Africa,Low-income countries,2020,1886844,África
Northern Africa,Low-income countries,2020,1168465,África
Southern Africa,Low-income countries,2020,36229,África
Western Africa,Low-income countries,2020,2123197,África
Central Asia,Low-income countries,2020,26987,Asia
Eastern Asia,Low-income countries,2020,49836,Asia
South-Eastern Asia,Low-income countries,2020,7543,Asia
Southern Asia,Low-income countries,2020,136260,Asia
Western Asia,Low-income countries,2020,842835,Asia
Eastern Europe,Low-income countries,2020,238823,Europa
Northern Europe,Low-income countries,2020,3709,Europa
Southern Europe,Low-income countries,2020,13376,Europa
Western Europe,Low-income countries,2020,33798,Europa
Caribbean,Low-income countries,2020,14616,Latinoamerica
Central America,Low-income countries,2020,968,Latinoamerica
South America,Low-income countries,2020,13108,Latinoamerica
